use,keyword,pref_label,synonyms,definition,class
,abundance,Abundance,"('Abundance', 'Abundant')","('Relative degree of plentifulness.',)",Thesaurus:C70589
y,abundance,Abundance,"('Abundance', 'Abundant')","('Relative degree of plentifulness.',)",Thesaurus:C70589
,abundance,abundance,(),"(""The number of organisms in a population, guild, life form, etc., combining 'intensity' (density within inhabited areas) and 'prevalence' (number and size of inhabited areas)"",)",http://vocabs.lter-europe.net/EnvThes/21541
,accumulation,Accumulation,"('ACCUMULATION', 'Accumulation')","('A state characterized by the gradual increase in entities or substances.',)",Thesaurus:C120860
,accumulation,Accumulation,"('ACCUMULATION', 'Accumulation')","('A state characterized by the gradual increase in entities or substances.',)",Thesaurus:C120860
y,accumulation,Accumulation,(),"('A state characterized by the gradual increase in entities or substances.',)",NCIT:C120860
,accumulation,accumulation,"('pooled',)","('A structural quality of the collection or massing of one physical object within another physical object.',)",PATO:0002269
,acid,Acid,"('Acid', 'Acidic', 'acid', 'acidity')","('A substance that yields hydrogen ions or protons in aqueous solutions; a substance capable of accepting a pair of electrons for the formation of a coordinate covalent bond; a substance whose hydrogen can be replaced by metals or basic radicals, or which react with bases to form salts and water.',)",Thesaurus:C48057
y,acid,Acid,"('Acid', 'Acidic', 'acid', 'acidity')","('A substance that yields hydrogen ions or protons in aqueous solutions; a substance capable of accepting a pair of electrons for the formation of a coordinate covalent bond; a substance whose hydrogen can be replaced by metals or basic radicals, or which react with bases to form salts and water.',)",Thesaurus:C48057
,acid,Acids,"('Acid',)","(""Chemical compounds which yield hydrogen ions or protons when dissolved in water, whose hydrogen can be replaced by metals or basic radicals, or which react with bases to form salts and water (neutralization). An extension of the term includes substances dissolved in media other than water. (Grant & Hackh's Chemical Dictionary, 5th ed)"",)",MESH:D000143
,acid,acid,"('Saeure', 'Saeuren', 'acide', 'acido', 'acids', 'Acid', 'acid')","('An acid is a molecular entity capable of donating a hydron (Bronsted acid) or capable of forming a covalent bond with an electron pair (Lewis acid).',)",CHEBI:37527
,acid,acid,"('Saeure', 'Saeuren', 'acide', 'acido', 'acids', 'an acid', 'Acid', 'acid')","('An acid is a molecular entity capable of donating a hydron (Bronsted acid) or capable of forming a covalent bond with an electron pair (Lewis acid).',)",CHEBI:37527
,acid,acid,"('Saeure', 'acido', 'acide', 'acids', 'Saeuren', 'acid', 'Acid')","('An acid is a molecular entity capable of donating a hydron (Bronsted acid) or capable of forming a covalent bond with an electron pair (Lewis acid).',)",CHEBI:37527
,acid,acid,"('acide', 'acido', 'acids', 'Saeure', 'Saeuren', 'Acid', 'acid')","('An acid is a molecular entity capable of donating a hydron (Bronsted acid) or capable of forming a covalent bond with an electron pair (Lewis acid).',)",CHEBI:37527
,acid,acid,"('periodic acid', 'haloacid', 'phosphorus acid', 'phosphonous acid', 'hydrogen fluoride', 'phosphorous acid', 'phosphoric acid', 'hydrofluoric acid')","('substances whose aqueous solutions are characterized by a sour taste, the ability to turn blue litmus red, and the ability to react with bases and certain metals to form salts; yields hydrogen ions when dissolved in water, acts as a proton donor, and can accept a pair of electrons to form a covalent bond.',)",http://purl.bioontology.org/ontology/CSP/0030-0942
,acquisition,Acquisition,"('Acquisition', 'Acquire', 'Obtain')","('The process by which something is acquired or obtained.',)",Thesaurus:C43384
,acquisition,Acquisition,"('Acquisition', 'Acquire', 'Obtain')","('The process by which something is acquired or obtained.',)",Thesaurus:C43384
y,acquisition,acquisition,(),"('A planned process with the objective of gaining possession of an entity.',)",OBI:0600008
y,acquisition time,acquisition time,(),"('The acquisition time is the time when a signal is captured. [Allotrope]',)",http://purl.allotrope.org/ontologies/result#AFR:0001158
y ,added,Added,"('Added',)","('Combined or joined to increase in size or quantity or scope.',)",Thesaurus:C45330
,added,Added,"('Added',)","('Combined or joined to increase in size or quantity or scope.',)",Thesaurus:C45330
,adsorption,Adsorption,"('Adsorption',)","('The adhesion of a gas, liquid or dissolved solid chemical of interest onto a solid surface.',)",Thesaurus:C157206
